created_at,full_text
Mon Jun 16 03:40:49 +0000 2025,Today at Apple. #F1TheMovie #Severance https://t.co/PXHcQY2HhL
Sun Jun 15 14:00:01 +0000 2025,Wishing all the incredible dads at Apple and around the world a very happy Father’s Day!
Thu Jun 12 15:27:44 +0000 2025,"It’s hard to believe it’s been 20 years since Steve told Stanford graduates to stay hungry and stay foolish. His powerful advice still rings true, and I hope it helps guide this year’s new grads as they begin their journey to become tomorrow’s leaders. https://t.co/eay6nAnDFD"
Wed Jun 11 18:47:42 +0000 2025,Experience the new @F1Movie trailer on iPhone in a way only Apple can deliver. https://t.co/VYeJcVagKq https://t.co/ej7DWSfT6l
Tue Jun 10 03:17:46 +0000 2025,Thank you to all of the developers from around the world who joined us in person and virtually for #WWDC25! https://t.co/Hsw0ZzLCUJ
Mon Jun 09 19:59:19 +0000 2025,Expressive. Delightful. But still instantly familiar.  Introducing our new software design with Liquid Glass. https://t.co/8hA0q2aCTf
Mon Jun 09 13:20:00 +0000 2025,See you soon #WWDC25! https://t.co/xna3JqcGvp
Mon Jun 09 01:55:15 +0000 2025,Love starting #WWDC25 with our Swift Student Challenge winners! https://t.co/DiL29bcfie
Sun Jun 08 00:31:24 +0000 2025,"We are deeply saddened by the passing of Bill Atkinson. He was a true visionary whose creativity, heart, and groundbreaking work on the Mac will forever inspire us. Our thoughts are with his loved ones."
Mon May 26 13:30:00 +0000 2025,"We are grateful for all those who fought for our freedom. On Memorial Day, we reflect on the courage and selflessness of the heroes who made the ultimate sacrifice for our country."
Thu May 22 18:05:12 +0000 2025,"Emory Hillandale Hospital is using Apple products to transform technology in healthcare, helping physicians and nurses deliver better patient experiences. We’re proud they’re running on our products. https://t.co/WDqf6EJaD3"
Thu May 15 13:00:02 +0000 2025,"For 40 years, we’ve believed the best technology is built with accessibility in mind.  We’re proud to share new accessibility features to help more people navigate the world, express themselves, and stay connected. #GAAD https://t.co/W6YW81e962"
Sun May 11 13:30:00 +0000 2025,"Today, we celebrate the mothers who lift others up with love, patience, and strength. Wishing moms at Apple and around the world a Happy Mother’s Day."
Fri May 09 14:48:59 +0000 2025,"Congrats to this year’s Swift Student Challenge winners &amp; 50 Distinguished Winners!  From wildfire safety to expanding access to education, these talented young developers drew inspiration from their local communities to solve real-world problems. https://t.co/uqkFm8tsAW"
Mon May 05 18:04:02 +0000 2025,"Education and technology are a powerful force for opportunity. This Teacher Appreciation Week, we celebrate the educators around the world using technology to open new doors and help all kinds of learners unlock their highest potential. https://t.co/cWbzQCy50I"
Sat May 03 19:11:32 +0000 2025,"There’s never been someone like Warren, and countless people, myself included, have been inspired by his wisdom. It’s been one of the great privileges of my life to know him. And there’s no question that Warren is leaving Berkshire in great hands with Greg. https://t.co/7p5zXtq5hP"
Fri May 02 15:16:22 +0000 2025,"Formula 1 is on Apple Sports, so you can check out real-time leaderboards, interval updates, and more for the Miami Grand Prix this weekend—all at a glance. Excited to follow along on Sunday! https://t.co/JHpbexka6H"
Thu Apr 24 13:30:00 +0000 2025,"Today is Global Close Your Rings Day!   For a decade, Apple Watch has had a profound impact on people’s lives.  From Apple Park to around the world: celebrate by doing an activity you love, pushing yourself further, or trying something new to close your rings! https://t.co/m1w9jShQVX"
Tue Apr 22 13:00:02 +0000 2025,Happy Earth Day! 🌎🌍🌏
Mon Apr 21 14:03:56 +0000 2025,Joining people around the world in mourning Pope Francis today. He lived a life of extraordinary grace and deep compassion. May he rest in peace. https://t.co/JDSOGe9z3j
Sun Apr 20 14:00:02 +0000 2025,Happy Easter to everyone celebrating! 🐰
Sat Apr 19 18:00:00 +0000 2025,"Hiking at our national parks is one of my favorite things to do, and Apple Maps has thousands of amazing trails and hikes to discover. Happy #NationalParkWeek! https://t.co/ar9C6BW1XL"
Wed Apr 16 14:05:00 +0000 2025,"Five years ago, we set an ambitious goal to become carbon neutral across every part of our business by 2030.  Today, we’re announcing we’ve reduced our global emissions by more than 60%—and we’re using more recycled materials and renewable energy than ever before. https://t.co/UkN7RdGISo"
Wed Apr 16 04:21:39 +0000 2025,Congrats to these emerging filmmakers for bringing their creative visions to life with iPhone 16 Pro Max and MacBook Pro at the @MumbaiFilmFest! https://t.co/cG9Md9rdDS
Sat Apr 12 23:30:00 +0000 2025,"I hope everyone celebrating Passover has gatherings full of great company, love, and tradition. Chag Sameach!"
Sun Mar 30 18:13:24 +0000 2025,Our hearts go out to all those in Myanmar and Thailand affected by the devastating earthquake. Apple is donating to support relief efforts on the ground.
Sun Mar 30 16:30:00 +0000 2025,Sending everyone celebrating Eid al-Fitr around the world wishes of health and happiness. Eid Mubarak!
Fri Mar 21 12:01:30 +0000 2025,Season 3 of Severance is available upon request.  - Tim C. https://t.co/cnctZIRDNF
Fri Mar 14 03:00:00 +0000 2025,Happy Holi to all those celebrating!   May it be as joyous and fun as Kushagra Tiwari’s beautiful #ShotOniPhone photo. https://t.co/6gQBQyyN67
Thu Mar 13 19:53:20 +0000 2025,Meet APXGP. Sonny Hayes and Joshua Pearce. #F1Movie only in theaters this Summer. https://t.co/MS4TcSn0IA
Wed Mar 12 14:00:01 +0000 2025,"Our new MacBook Air, Mac Studio, iPad Air, and iPad are more powerful than ever, and they’re available today! https://t.co/y4ofuTsDq5"
Sat Mar 08 15:00:01 +0000 2025,"This International Women’s Day, we celebrate the remarkable women inspiring future generations."
