created_at,full_text,sentiment,compound
Tue Jun 10 03:54:41 +0000 2025,"This administration will not be intimidated by lawlessness.   We will stand by the FBI agents tracking down violent criminals, by the guardsmen, local police, and Marines restoring order, and by the ICE agents enforcing our immigration laws.  President Trump will not back down.",negative,-0.6116
Tue Jun 10 01:13:41 +0000 2025,President Donald J. Trump × @UFC 316 🇺🇸🦅 @DanaWhite,neutral,0.0
Mon Jun 09 22:38:37 +0000 2025,"While Los Angeles burns—officers ambushed, city in chaos—Kamala Harris, Gavin Newsom, and Maxine Waters call the riots and insurrection “peaceful.” These leftists don’t care about your safety. They side with mobs.  PRESIDENT TRUMP STANDS FOR LAW &amp; ORDER—AND WILL CRUSH THE CHAOS.",negative,-0.6207
Mon Jun 09 21:39:04 +0000 2025,"PRESIDENT DONALD J. TRUMP WELCOMES AMERICA’S NEWEST CITIZENS 🇺🇸🦅  “Today, you receive one of the most priceless gifts ever granted by human hands. You become a citizen of the United States of America... I welcome you into our national family.”",positive,0.8816
Mon Jun 09 21:37:26 +0000 2025,"✅ WIN: The One, Big, Beautiful Bill supports small businesses by promoting the growth and success of Main Street.",positive,0.9625
Mon Jun 09 21:26:12 +0000 2025,"✅ WIN: The One, Big, Beautiful Bill stops illegal immigrants from receiving tax credits.",positive,0.7739
Mon Jun 09 21:20:27 +0000 2025,"✅ WIN: The One, Big, Beautiful Bill repeals and rescinds every “green” corporate welfare subsidy in Democrats’ so-called “Inflation Reduction Act.”",positive,0.8567
Mon Jun 09 20:56:20 +0000 2025,"PRESIDENT DONALD J. TRUMP WELCOMES AMERICA’S NEWEST CITIZENS 🇺🇸🦅  “Today, you receive one of the most priceless gifts ever granted by human hands. You become a citizen of the United States of America... I welcome you into our national family.”",positive,0.8816
Mon Jun 09 20:52:27 +0000 2025,"✅ WIN: The One, Big, Beautiful Bill refills the Strategic Petroleum Reserve to safeguard America’s energy security.",positive,0.9386
Mon Jun 09 20:42:11 +0000 2025,"✅ WIN: The One, Big, Beautiful Bill streamlines permitting processes so America can get building again.",positive,0.8567
Mon Jun 09 20:37:10 +0000 2025,The One Big Beautiful Bill Will END Taxpayer-Funded Health Care for Illegals,positive,0.7964
Mon Jun 09 20:36:20 +0000 2025,"Radical left lunatics are taking to the streets of Los Angeles — attacking law enforcement, hurling projectiles at police cruisers, burning vehicles — because the Trump Admin is removing VIOLENT criminal illegal immigrants from communities.   Here are some of the sick criminals⬇️",negative,-0.9663
Mon Jun 09 20:35:43 +0000 2025,"✅ WIN: The One, Big, Beautiful Bill ENDS BIDEN'S WAR ON AMERICAN ENERGY. 🇺🇸  Drill, Baby, Drill!",positive,0.7861
Mon Jun 09 20:30:59 +0000 2025,"✅ WIN: The One, Big, Beautiful Bill protects Medicaid for AMERICANS who truly need it. 🇺🇸",positive,0.9278
Mon Jun 09 20:22:59 +0000 2025,"✅ WIN: The One, Big, Beautiful Bill eliminates hundreds of billions of dollars in Green New Scam tax credits and immediately stops credits from flowing to China, saving taxpayers $500+ billion every year. 💰",positive,0.8455
Mon Jun 09 20:12:25 +0000 2025,"✅ WIN: The One, Big, Beautiful Bill lifts Americans up to find a better quality of life through the dignity of work.",positive,0.9329
Mon Jun 09 20:07:15 +0000 2025,"Radical left lunatics are taking to the streets of Los Angeles — attacking law enforcement, hurling projectiles at police cruisers, burning vehicles — because the Trump Admin is removing VIOLENT criminal illegal immigrants from communities.   Here are some of the sick criminals⬇️",negative,-0.9663
Mon Jun 09 19:40:22 +0000 2025,"✅ WIN: The One, Big, Beautiful Bill protects Medicaid for AMERICANS who truly need it. 🇺🇸",positive,0.9278
Mon Jun 09 19:29:56 +0000 2025,President Trump Participates in Invest America Roundtable,neutral,0.0
Mon Jun 09 19:23:39 +0000 2025,"✅ WIN: The One, Big, Beautiful Bill increases the child tax credit to $2,500 per family.",positive,0.9008
Mon Jun 09 18:54:28 +0000 2025,President Trump Participates in Invest America Roundtable,neutral,0.0
Mon Jun 09 17:57:17 +0000 2025,"“The Reconciliation Bill passed by the House and championed by the President will uplift every American child in every community by giving them private ownership of an investment account with $1000 from birth..."" –Invest America Founder Brad Gerstner @altcap",positive,0.5574
Mon Jun 09 17:56:57 +0000 2025,"“Dell Technologies will proudly match dollar for dollar the government’s seed investment into these accounts for all the children born to Dell team members..."" –Dell CEO @MichaelDell",positive,0.5574
Mon Jun 09 16:46:51 +0000 2025,The lawlessness happening in LA is ANOTHER reason why we need to pass the One Big Beautiful Bill IMMEDIATELY.   It provides the ESSENTIAL funding needed to secure our nations borders.   Congress WILL support the brave @ICEgov agents who are fighting to keep Americans safe against…,positive,0.9153
Mon Jun 09 15:44:46 +0000 2025,"We need the One Big, Beautiful Bill to pass ASAP!",positive,0.636
Mon Jun 09 15:29:11 +0000 2025,"Earlier this week, I visited the origin point of the Trans-Alaska Pipeline and got to see firsthand the immeasurable impact it has had on Alaska—and the United States. We need to BUILD the Big, Beautiful Twin Pipeline for natural gas and truly UNLEASH Alaska.",positive,0.9022
Mon Jun 09 14:46:26 +0000 2025,"TODAY AT THE WHITE HOUSE: ‘Trump to highlight $1,000 'Trump Account' investments for kids in GOP megabill’ 👶🏼💸",positive,0.34
Mon Jun 09 14:46:09 +0000 2025,"THIS WEEK: DHS is protecting America— one arrest, one confiscation, and one deportation at a time.  @MicahBock",negative,-0.34
Mon Jun 09 14:45:43 +0000 2025,🚨 FARMER WIN 🌾 @POTUS’ One Big Beautiful Bill will make the Trump tax cuts PERMANENT.   Cementing the LARGEST tax cut for middle &amp; working class Americans in history.,positive,0.7297
Mon Jun 09 14:45:37 +0000 2025,“Foreign aid has to be geared towards our national interests. We need to design a State Department that delivers on that.” — @SecRubio,positive,0.25
Mon Jun 09 14:45:27 +0000 2025,This criminal illegal alien is who Governor @GavinNewsom  @MayorOfLA and the rioters in Los Angeles are trying to protect over U.S. citizens.,negative,-0.6597
Mon Jun 09 14:45:21 +0000 2025,Left-wing radicals are rioting because ICE is arresting these types of violent illegal alien criminals👇🏻,negative,-0.8176
Mon Jun 09 14:45:07 +0000 2025,"The riots in Los Angeles only further support the need to pass the One, Big, Beautiful Bill, supercharging Border Patrol &amp; ICE agents to secure our frontlines NOW!",positive,0.7177
