created_at,full_text,sentiment,compound
Tue Jun 10 05:16:51 +0000 2025,"After stage separation, Super Heavy flipped in a controlled direction for the first time. This maneuver requires less propellant to be held in reserve and enables additional payload mass to orbit",positive,0.5994
Tue Jun 10 05:01:10 +0000 2025,Now #1 in Qatar!,neutral,0.0
Tue Jun 10 04:52:28 +0000 2025,🏆❤️,neutral,0.0
Tue Jun 10 04:27:27 +0000 2025,"Google CEO: Just assume because it’s Elon Musk,Tesla will succeed in making robotaxis",positive,0.4939
Tue Jun 10 04:23:36 +0000 2025,Starship will make us multi planetary,neutral,0.0
Tue Jun 10 03:47:48 +0000 2025,"I love my job so much.   Today I got to watch the sun produce incredible streams of plasma throughout the chromosphere, which I photographed in detail using a specially modified telescope.",positive,0.6369
Tue Jun 10 03:44:00 +0000 2025,"Democrats have no issue with millions crossing the border illegally. But the moment the law gets enforced in California, they scream “division.”  They’re mad Trump is interrupting the plan and will try to gaslight the public into outrage against Trump to stop him from enforcing…",negative,-0.9612
Tue Jun 10 03:40:06 +0000 2025,💯,neutral,0.0
Tue Jun 10 03:37:59 +0000 2025,"BREAKING: 🚨 𝕏 is now the #1 news app in Azerbaijan 🇦🇿  X is taking over, one country at a time",neutral,0.0
Tue Jun 10 02:42:22 +0000 2025,"Contracts Update!  Great work by agencies over the last three days terminating 111 wasteful contracts with a ceiling value of $790M and savings of $263M, including $21k for  a Department of Energy “executive coaching program for an estimated 30 senior executives” and $480k for…",positive,0.8356
Tue Jun 10 02:38:15 +0000 2025,We’re building both macOS and Windows apps. Can’t live in the browser forever!,neutral,0.0
Tue Jun 10 02:29:51 +0000 2025,“What does a humane deportation plan look like?”  Change the incentives.   Make it more attractive to live outside of America than it is to live in America illegally.  - Massive fines and imprisonment of employers who break the law by employing illegal immigrants.  - Remove…,positive,0.2247
Tue Jun 10 01:23:31 +0000 2025,"I unapologetically stand for free speech, peaceful demonstrations, and immigration—but this is not that.  This is anarchy and true chaos.  My party loses the moral high ground when we refuse to condemn setting cars on fire, destroying buildings, and assaulting law enforcement.",negative,-0.7964
Mon Jun 09 23:41:47 +0000 2025,😂,neutral,0.0
Mon Jun 09 22:36:51 +0000 2025,🎯,neutral,0.0
Mon Jun 09 21:38:02 +0000 2025,The difference between reality and the legacy media is insane!,negative,-0.4574
Mon Jun 09 21:37:29 +0000 2025,I was asked how do illegal immigrants affect politics at the federal level? It was a good question.   Here’s how:,negative,-0.1779
Mon Jun 09 21:34:52 +0000 2025,"Starlink is now available in 140 countries &amp; territories!  And, of course, anywhere on the oceans.",neutral,0.0
Mon Jun 09 21:22:12 +0000 2025,I renounce my long-standing belief in open borders   I thank the Democrats for persuading me,positive,0.3612
Mon Jun 09 20:50:36 +0000 2025,Cool,positive,0.3182
Mon Jun 09 19:11:58 +0000 2025,Interesting read,positive,0.4019
Mon Jun 09 18:44:35 +0000 2025,"Actually, humanity is only about 1% of the way towards a Type I civilization.  We could generate at least 2 orders of magnitude more electricity than we do now.",neutral,0.0
Mon Jun 09 18:36:20 +0000 2025,"If you’re interested in applying advanced AI to the 𝕏 content recommendation system, join us!   Getting this right is fundamental to improving the collective intelligence of humanity.",positive,0.902
Mon Jun 09 18:33:52 +0000 2025,The biggest change that people should notice as we shift the recommendation algorithm to use more of @Grok AI is that banger posts from small accounts should start showing up in your feed,neutral,0.0
