created_at,full_text,sentiment,compound
Fri May 23 09:50:40 +0000 2025,100 days until we’re back at home 🐊  #GoGators,neutral,0.0
Thu May 22 02:57:22 +0000 2025,The pro-Maduro Biden oil  license in #Venezuela will expire as scheduled next Tuesday May 27th.,neutral,0.0
Mon May 12 12:25:39 +0000 2025,".@POTUS is fighting to secure the release of every American detained abroad. We won’t stop until this conflict is over and all our hostages are home.   Promises Made, Promised Kept",negative,-0.296
Sat May 10 13:06:26 +0000 2025,"Pakistan and India  have agreed to a ceasefire with immediate effect. Pakistan has always strived for peace and security in the region, without compromising on its sovereignty and territorial integrity!",positive,0.8718
Sat May 10 13:06:22 +0000 2025,India and Pakistan have today worked out an understanding on stoppage of firing and military action.  India has consistently maintained a firm and uncompromising stance against terrorism in all its forms and manifestations. It will continue to do so.,negative,-0.7906
Sat May 10 12:10:56 +0000 2025,"Over the past 48 hours, @VP Vance and I have engaged with senior Indian and Pakistani officials, including Prime Ministers Narendra Modi and Shehbaz Sharif, External Affairs Minister Subrahmanyam Jaishankar, Chief of Army Staff Asim Munir, and National Security Advisors Ajit…",positive,0.6249
Sat May 03 23:41:20 +0000 2025,"The Cuban regime continues to provide safe haven for terrorists and criminals, including fugitives from the United States.  We owe the victims and the American people our unwavering commitment to holding the Cuban regime accountable.",negative,-0.4215
Thu May 01 22:13:55 +0000 2025,"A strong America demands peace, not endless war. Met with Foreign Minister @jnbarrot to advance @POTUS’ goal of ending the bloodshed in Ukraine and securing a just and lasting peace. We agreed Europe must invest more in its own defense, and American industry must not be sidelined…",positive,0.9542
Wed Apr 30 22:47:24 +0000 2025,".@SecRubio: ""This President inherited 30 years of foreign policy that was built around what was good for the world... Under @POTUS, we're making a foreign policy now that's... good for America.""",positive,0.7003
Tue Apr 29 23:25:54 +0000 2025,"Congratulations to Kamla Persad-Bissessar on her election as the next Prime Minister of Trinidad and Tobago. She is a strong leader, friend, and U.S. ally who shares @POTUS's priorities on security and immigration. We look forward to building a close partnership for the future of…",positive,0.9325
Sun Apr 27 14:51:37 +0000 2025,"""We have to make a determination about whether this is an endeavor that we want to continue to be involved in,"" says @SecRubio on negotiations around Ukraine.  ""There are reasons to be optimistic, but there are reasons to be realistic... We're close, but we're not close enough.""",positive,0.3919
Sun Apr 27 14:51:01 +0000 2025,"""What we are trying to do is end a war that has cost a lot of money to us, to our allies, cost a lot of lives ... We just want all this to stop,"" says @SecRubio.   ""Instead of rooting against @POTUS, everyone should be hopeful that President Trump can bring this war to an end.""",negative,-0.6369
