created_at,full_text
Sat Jun 14 13:41:22 +0000 2025,"Look at what people in comparable jobs with comparable experience and credentials make, add some small premium over that, and build in bonuses or other incentives so they will be motivated to knock the cover off the ball. Never pay based on the job title alone. #principleoftheday https://t.co/YImxgG9ZpH"
Fri Jun 13 17:21:37 +0000 2025,"For example, when choosing which movie to watch or what book to read, are you drawn to proven classics or the newest big thing? In my opinion, it is smarter to choose the great over the new. #principleoftheday https://t.co/krI8taqbUH"
Fri Jun 13 13:46:09 +0000 2025,"We are in a period of great conflicts and disruptive changes that are important to understand well. Look at the news and the changes happening in front of your eyes.  It should be clear that the monetary order, the domestic political order, and the international geopolitical… https://t.co/o4dkk2O03d"
Thu Jun 12 21:05:00 +0000 2025,"Pay people enough so that they're not under financial stress, but not so much that they become fat and happy. You want your people to be motivated to perform so they can realize their dreams. You don't want people to accept a job for the security of making a lot more money-- you… https://t.co/e361YOmISh"
Thu Jun 12 15:22:25 +0000 2025,I am of course thrilled that How Countries Go Broke: the Big Cycle is now the #1 New York Times best-selling book and has been so enthusiastically supported by the most knowledgeable and influential people on both sides of the political divide.  That's because I am on a mission… https://t.co/VOO3z4C4JF
Wed Jun 11 19:55:56 +0000 2025,"These memes typically are due to a mix of extrapolating what happened before and emotional considerations. Also, most investors typically don't take into consideration market pricing. In other words, they tend to identify what has been a great investment (e.g., a strongly… https://t.co/2K35dDEUHs"
Wed Jun 11 15:29:30 +0000 2025,"In all aspects of life, what's happening today seems like a much bigger deal than it will appear in retrospect. That's why it helps to step back to gain perspective and sometimes defer a decision until some time passes. #principleoftheday https://t.co/BWYyq0CNvI"
Tue Jun 10 18:34:55 +0000 2025,"What's happening now with money, debt, and credit has never happened before in our lifetime.  But it has happened many times in history, which is why I believe studying the past is so important. The same cycles repeat over and over again, and there are important lessons we can… https://t.co/e6l8oFGcy6"
Tue Jun 10 15:38:22 +0000 2025,"Make sure you're following the suggestions made earlier, like building meaningful relationships and constantly getting in sync. Most importantly, you have to encourage people to speak up about how things are going for them. Ensuring that their personal development is proceeding… https://t.co/qxA7vX3Lhx"
Mon Jun 09 19:21:00 +0000 2025,Opinions are a dime a dozen and nearly everyone will share theirs with you. Many will state them as if they are facts. Don't mistake opinions for facts. #principleoftheday https://t.co/VGwpBUigVV
Mon Jun 09 17:58:40 +0000 2025,"If you study the patterns of history, you find interrelated cycles in which global economic and political orders rise and inevitably break down due to specific cause-effect relationships playing out through time.  In my research, I’ve found that when you have the combination of… https://t.co/BZB8XVPgvO"
Mon Jun 09 14:31:10 +0000 2025,https://t.co/mFuuK7sgzU
