created_at,full_text
Tue Jun 10 06:12:41 +0000 2025,https://t.co/9sQevSwpKr
Tue Jun 10 05:16:51 +0000 2025,"After stage separation, Super Heavy flipped in a controlled direction for the first time. This maneuver requires less propellant to be held in reserve and enables additional payload mass to orbit https://t.co/GjRCANSHbM"
Tue Jun 10 05:08:05 +0000 2025,https://t.co/ml8bbZgsB4
Tue Jun 10 05:01:10 +0000 2025,Now #1 in Qatar!
Tue Jun 10 04:52:28 +0000 2025,🏆❤️ https://t.co/UuHkAHP3X1
Tue Jun 10 04:27:27 +0000 2025,"Google CEO: Just assume because it’s Elon Musk,Tesla will succeed in making robotaxis https://t.co/3IqSbOmmD8"
Tue Jun 10 04:23:36 +0000 2025,Starship will make us multi planetary https://t.co/S9bgLgRsh5
Tue Jun 10 03:47:48 +0000 2025,"I love my job so much.   Today I got to watch the sun produce incredible streams of plasma throughout the chromosphere, which I photographed in detail using a specially modified telescope. https://t.co/zY8dczrlt1"
Tue Jun 10 03:44:00 +0000 2025,"Democrats have no issue with millions crossing the border illegally. But the moment the law gets enforced in California, they scream “division.”  They’re mad Trump is interrupting the plan and will try to gaslight the public into outrage against Trump to stop him from enforcing… https://t.co/lCRh1HgZfS"
Tue Jun 10 03:40:06 +0000 2025,💯 https://t.co/RChdYIGwQL
Tue Jun 10 03:37:59 +0000 2025,"BREAKING: 🚨 𝕏 is now the #1 news app in Azerbaijan 🇦🇿  X is taking over, one country at a time  https://t.co/azTXueAPHv"
Tue Jun 10 02:42:22 +0000 2025,"Contracts Update!  Great work by agencies over the last three days terminating 111 wasteful contracts with a ceiling value of $790M and savings of $263M, including $21k for  a Department of Energy “executive coaching program for an estimated 30 senior executives” and $480k for… https://t.co/M1l7K3towt"
Tue Jun 10 02:38:15 +0000 2025,We’re building both macOS and Windows apps. Can’t live in the browser forever!
Tue Jun 10 02:29:51 +0000 2025,“What does a humane deportation plan look like?”  Change the incentives.   Make it more attractive to live outside of America than it is to live in America illegally.  - Massive fines and imprisonment of employers who break the law by employing illegal immigrants.  - Remove… https://t.co/X8GwlVeEhB
Tue Jun 10 01:23:31 +0000 2025,"I unapologetically stand for free speech, peaceful demonstrations, and immigration—but this is not that.  This is anarchy and true chaos.  My party loses the moral high ground when we refuse to condemn setting cars on fire, destroying buildings, and assaulting law enforcement. https://t.co/pPYbvP6xR0"
Mon Jun 09 23:41:47 +0000 2025,😂
Mon Jun 09 22:36:51 +0000 2025,🎯
Mon Jun 09 21:38:02 +0000 2025,The difference between reality and the legacy media is insane!
Mon Jun 09 21:37:29 +0000 2025,I was asked how do illegal immigrants affect politics at the federal level? It was a good question.   Here’s how: https://t.co/lmsh7zaw8m
Mon Jun 09 21:34:52 +0000 2025,"Starlink is now available in 140 countries &amp; territories!  And, of course, anywhere on the oceans."
Mon Jun 09 21:22:12 +0000 2025,I renounce my long-standing belief in open borders   I thank the Democrats for persuading me https://t.co/0aYEZEqdVR
Mon Jun 09 20:50:36 +0000 2025,Cool
Mon Jun 09 19:11:58 +0000 2025,Interesting read
Mon Jun 09 18:44:35 +0000 2025,"Actually, humanity is only about 1% of the way towards a Type I civilization.  We could generate at least 2 orders of magnitude more electricity than we do now."
Mon Jun 09 18:36:20 +0000 2025,"If you’re interested in applying advanced AI to the 𝕏 content recommendation system, join us!   Getting this right is fundamental to improving the collective intelligence of humanity."
Mon Jun 09 18:33:52 +0000 2025,The biggest change that people should notice as we shift the recommendation algorithm to use more of @Grok AI is that banger posts from small accounts should start showing up in your feed
Mon Jun 09 18:32:02 +0000 2025,People who were already violating the law are only violating the law because President Trump started enforcing the law.   This is the logic of Newsom and his stooges.
Mon Jun 09 18:26:12 +0000 2025,😀
Mon Jun 09 18:20:03 +0000 2025,🚨BREAKING: Tesla Model Y was the best-selling SUV in China for May 2025 🇨🇳 https://t.co/zTi4LlBkW1
Mon Jun 09 18:18:14 +0000 2025,The riots in LA aren't happening because ICE broke the law. They're happening because ICE is actually enforcing the law.   Think about that for a second.
Mon Jun 09 08:12:19 +0000 2025,"If Elon Musk hadn’t bought twitter, none of us would know what was going on in LA right now"
Mon Jun 09 06:11:25 +0000 2025,"You can’t have a body without skin, a house without walls, or a country without a border."
Mon Jun 09 03:41:39 +0000 2025,🤨
Mon Jun 09 03:37:00 +0000 2025,LA officials choose not to and now don't even seem to be able to support ICE and getting illegal immigrants out of our country.   ICE needs help. So the federal government should make sure they get the help they need so they can do their job as safely and  as effectively… https://t.co/r01fCzGu9a
Mon Jun 09 03:26:24 +0000 2025,It’s wild
Mon Jun 09 02:09:48 +0000 2025,https://t.co/1keU3EnfnH
Mon Jun 09 02:08:40 +0000 2025,This is not ok https://t.co/feOtg6f6ge
Mon Jun 09 02:04:14 +0000 2025,"Star Wars billboard in Tokyo, Japan (1978) https://t.co/efckAGrnrb"
Mon Jun 09 02:00:38 +0000 2025,🇺🇸🇺🇸
Mon Jun 09 01:27:50 +0000 2025,Make California America Again https://t.co/93tk892pR8
Mon Jun 09 01:25:23 +0000 2025,The number of satellites launched into space has grown incredibly fast https://t.co/BxUbF1qQOP
Mon Jun 09 01:18:37 +0000 2025,Age of these businesses:  Tesla: 22 years SpaceX: 23 years Google: 27 years Netflix: 28 years Amazon: 31 years Nvidia: 32 years Apple: 49 years Microsoft: 50 years Intel: 57 years Sony: 79 years HP: 86 years Samsung: 87 years IBM: 114 years Nintendo: 136 years Nokia: 160 years
Mon Jun 09 00:57:50 +0000 2025,I hope we make it at least to Type II
Mon Jun 09 00:19:47 +0000 2025,Reading papers in 2020 vs  reading papers in 2025 https://t.co/WmRzaDqBU0
Sun Jun 08 23:47:44 +0000 2025,NEURALINK AND GROK GIVE ALS PATIENT A VOICE  Epic breakthrough with Neuralink and Grok stepping up for ALS.   The Lifeline:  • Thought Texts: Thoughts turned into text.   • Grok Assist: Finishes his sentences like a psychic sidekick  • Voice Clone: AI revives his real voice.… https://t.co/VFrpL8F5hq
Sun Jun 08 23:47:10 +0000 2025,That’s an old pic. Starship will get longer.
Sun Jun 08 23:31:14 +0000 2025,"High-speed internet on any adventure, enabled by Starlink 🛰️⛰️"
Sun Jun 08 23:25:34 +0000 2025,"It’s outrageous how much character assassination has been directed at me, especially by me!"
Sun Jun 08 23:04:21 +0000 2025,I went to the LA protest against ICE deportations. Here’s some of what I saw. https://t.co/4sZzdzjxxk
Sun Jun 08 21:02:09 +0000 2025,"“Starship is fully reusable, but will have twice the payload to orbit of the next biggest rocket that made it to orbit, which is the Saturn V.   In fact, without reusability, Starship would have about 400 tons of payload to orbit.”  https://t.co/UPiXLmv30r"
Sun Jun 08 20:22:03 +0000 2025,"“Everything that @elonmusk does with @tesla &amp; @SpaceX is absolutely brilliant .. he is thee Einstein of our age, that’s a fact.” - Sandy Munro, manufacturing expert https://t.co/hALMNJXPia"
Sun Jun 08 20:10:38 +0000 2025,"Elon Musk “Do you want a future where we're out there among the stars exploring the universe, or do you want a future where we're stuck on Earth forever?”  I think we want the super-exciting future where we're out there exploring the galaxy. That sounds great to me.  I think it's… https://t.co/Dr6bhhgfbL"
Sun Jun 08 19:44:29 +0000 2025,𝕏 is the #1 news source on Earth
Sun Jun 08 19:38:12 +0000 2025,"Elon Musk’s biggest contribution to free speech  “Literally within a few days, maybe even the same day of it being announced that he was buying it, I had put out a clip on my channel where I said: Of all things that Elon Musk has ever done or will ever do, none will ever count as… https://t.co/4Mg1eoeuYD"
Sun Jun 08 19:28:51 +0000 2025,https://t.co/0Otw2eis1m
