created_at,full_text
Tue Jun 10 03:54:41 +0000 2025,"This administration will not be intimidated by lawlessness.   We will stand by the FBI agents tracking down violent criminals, by the guardsmen, local police, and Marines restoring order, and by the ICE agents enforcing our immigration laws.  President Trump will not back down."
Tue Jun 10 01:13:41 +0000 2025,President Donald J. Trump × @UFC 316 🇺🇸🦅 @DanaWhite https://t.co/I7LLRzNqcN
Mon Jun 09 22:38:37 +0000 2025,"While Los Angeles burns—officers ambushed, city in chaos—Kamala Harris, Gavin Newsom, and Maxine Waters call the riots and insurrection “peaceful.” These leftists don’t care about your safety. They side with mobs.  PRESIDENT TRUMP STANDS FOR LAW &amp; ORDER—AND WILL CRUSH THE CHAOS. https://t.co/neWMbv7yps"
Mon Jun 09 21:39:04 +0000 2025,"PRESIDENT DONALD J. TRUMP WELCOMES AMERICA’S NEWEST CITIZENS 🇺🇸🦅  “Today, you receive one of the most priceless gifts ever granted by human hands. You become a citizen of the United States of America... I welcome you into our national family.” https://t.co/dxxVSMxGVu"
Mon Jun 09 21:37:26 +0000 2025,"✅ WIN: The One, Big, Beautiful Bill supports small businesses by promoting the growth and success of Main Street. https://t.co/atlUOcCaZm"
Mon Jun 09 21:26:12 +0000 2025,"✅ WIN: The One, Big, Beautiful Bill stops illegal immigrants from receiving tax credits. https://t.co/COlCGGT4hl"
Mon Jun 09 21:20:27 +0000 2025,"✅ WIN: The One, Big, Beautiful Bill repeals and rescinds every “green” corporate welfare subsidy in Democrats’ so-called “Inflation Reduction Act.” https://t.co/o5Zj8on2aJ"
Mon Jun 09 20:56:20 +0000 2025,"PRESIDENT DONALD J. TRUMP WELCOMES AMERICA’S NEWEST CITIZENS 🇺🇸🦅  “Today, you receive one of the most priceless gifts ever granted by human hands. You become a citizen of the United States of America... I welcome you into our national family.” https://t.co/dxxVSMxGVu"
Mon Jun 09 20:52:27 +0000 2025,"✅ WIN: The One, Big, Beautiful Bill refills the Strategic Petroleum Reserve to safeguard America’s energy security. https://t.co/g1Z3Jzfzk0"
Mon Jun 09 20:42:11 +0000 2025,"✅ WIN: The One, Big, Beautiful Bill streamlines permitting processes so America can get building again. https://t.co/KNuo3EqaOX"
Mon Jun 09 20:37:10 +0000 2025,The One Big Beautiful Bill Will END Taxpayer-Funded Health Care for Illegals  https://t.co/A5M1AxK7pa
Mon Jun 09 20:36:20 +0000 2025,"Radical left lunatics are taking to the streets of Los Angeles — attacking law enforcement, hurling projectiles at police cruisers, burning vehicles — because the Trump Admin is removing VIOLENT criminal illegal immigrants from communities.   Here are some of the sick criminals⬇️"
