title,summary,link,publisher,pubDate,source,text,finbert_positive,finbert_neutral,finbert_negative
"GameStop earnings, US-China talks, May CPI: What to Watch","Market Domination Overtime hosts Julie Hyman and Josh Lipton preview the top market stories and headlines Wall Street will be paying attention to next week, including corporate earnings from companies like GameStop (GME), Oracle (ORCL), Adobe (ADBE), and the J.M. Smucker Company (SJM); Apple's (AAPL) 2025 Worldwide Developers Conference (WWDC) kicking off; May's inflation data; and the launch of Tesla's (TSLA) robotaxi beta in Austin, Texas, starting on June 12. To watch more expert insights and analysis on the latest market action, check out more Market Domination Overtime here.",https://finnhub.io/api/news?id=c58f1563b03c26f5d1d51b652bbae68b0ee1d63e5fd6b0be5c0a164b7e390b58,Yahoo,2025-06-06 23:00:00,finnhub,"GameStop earnings, US-China talks, May CPI: What to Watch. Market Domination Overtime hosts Julie Hyman and Josh Lipton preview the top market stories and headlines Wall Street will be paying attention to next week, including corporate earnings from companies like GameStop (GME), Oracle (ORCL), Adobe (ADBE), and the J.M. Smucker Company (SJM); Apple's (AAPL) 2025 Worldwide Developers Conference (WWDC) kicking off; May's inflation data; and the launch of Tesla's (TSLA) robotaxi beta in Austin, Texas, starting on June 12. To watch more expert insights and analysis on the latest market action, check out more Market Domination Overtime here.",0.001448421855457127,0.9985451698303223,6.4311216192436405e-06
"Dow Jones Futures: S&P 500 Nears Highs, 5 Stocks In Buy Zones; What Matters For Tesla","Dow Jones Futures: S&P 500 Nears Highs, 5 Stocks In Buy Zones; What Matters For Tesla",https://finnhub.io/api/news?id=9bbe0c1e85270450a18ea6d96df64d6a15f7628e6b308116fc786a6bfc41dafb,DowJones,2025-06-06 22:58:53,finnhub,"Dow Jones Futures: S&P 500 Nears Highs, 5 Stocks In Buy Zones; What Matters For Tesla. Dow Jones Futures: S&P 500 Nears Highs, 5 Stocks In Buy Zones; What Matters For Tesla",0.00038062332896515727,0.9987694621086121,0.0008499154937453568
Why Apple is falling behind & how it can pull ahead,"Patrick Moorhead, founder and CEO at Moor Insights & Strategy, joins Asking for a Trend with Josh Lipton to discuss the factors behind Apple's (AAPL) bad year and what the company needs to do to pull ahead. To watch more expert insights and analysis on the latest market action, check out more Asking for a Trend here.",https://finnhub.io/api/news?id=b7251bb62e2351ae2c2356c11905c6c8d2b9e53ef2cf7cc7e12f04613aaf3901,Yahoo,2025-06-06 22:00:00,finnhub,"Why Apple is falling behind & how it can pull ahead. Patrick Moorhead, founder and CEO at Moor Insights & Strategy, joins Asking for a Trend with Josh Lipton to discuss the factors behind Apple's (AAPL) bad year and what the company needs to do to pull ahead. To watch more expert insights and analysis on the latest market action, check out more Asking for a Trend here.",0.0002515279920771718,0.9996930360794067,5.536857497645542e-05
Apple Set For Low-Key WWDC News Cycle After AI Face-Plant,Apple's WWDC 2025 is likely to be a low-key affair after the company overpromised and underdelivered with last year's conference.,https://finnhub.io/api/news?id=f1baa303fafbf4abf17849af52fa8cbe9e2e27d5f5a3243b92eae5552deb1a3d,Yahoo,2025-06-06 21:31:53,finnhub,Apple Set For Low-Key WWDC News Cycle After AI Face-Plant. Apple's WWDC 2025 is likely to be a low-key affair after the company overpromised and underdelivered with last year's conference.,0.00013400203897617757,0.014015323482453823,0.9858506321907043
Where Will Apple Stock Be in 5 Years?,"Apple shares have been a monster winner in the past, as its products and services gained widespread global adoption.  Investors should be concerned about the growth trajectory of the iPhone, which is being negatively impacted by Apple’s slow AI rollout.  Apple's (NASDAQ: AAPL) stock price has shot up 14,760% in the past 20 years thanks to the budding popularity of its hardware devices and software solutions that have won over consumers across the globe.",https://finnhub.io/api/news?id=d95edfa32b0133620ab195651e9d2d69acaa456bcbb4fb3cfa7eccf63bb33fa0,Yahoo,2025-06-06 21:18:00,finnhub,"Where Will Apple Stock Be in 5 Years?. Apple shares have been a monster winner in the past, as its products and services gained widespread global adoption.  Investors should be concerned about the growth trajectory of the iPhone, which is being negatively impacted by Apple’s slow AI rollout.  Apple's (NASDAQ: AAPL) stock price has shot up 14,760% in the past 20 years thanks to the budding popularity of its hardware devices and software solutions that have won over consumers across the globe.",0.07739512622356415,1.8128803276340477e-05,0.9225867390632629
How the World’s Wealthy Got Larger and Richer in 2024,How the World’s Wealthy Got Larger and Richer in 2024,https://finnhub.io/api/news?id=80482fb279ddc120352b98b89666cfe9181b31008c9c7429c2dca669a6071d1c,MarketWatch,2025-06-06 19:45:00,finnhub,How the World’s Wealthy Got Larger and Richer in 2024. How the World’s Wealthy Got Larger and Richer in 2024,0.09464898705482483,0.9051989316940308,0.00015203414659481496
What Apple needs to address in its AI business at WWDC 2025,"Apple's (AAPL) 2025 Worldwide Developers Conference (WWDC) kicks off next week, starting on Monday, June 9. Many on Wall Street will be keeping their eyes and ears open for any new information or updates to the Apple Intelligence platform. Yahoo Finance tech editor Dan Howley comes on Market Domination, outlining the major concerns around its AI business that Apple should address at WWDC. To watch more expert insights and analysis on the latest market action, check out more Market Domination here.",https://finnhub.io/api/news?id=e49856aceae9bcf5238a5049e63938c83786ae629b38439308d68304d48b67b9,Yahoo,2025-06-06 19:42:17,finnhub,"What Apple needs to address in its AI business at WWDC 2025. Apple's (AAPL) 2025 Worldwide Developers Conference (WWDC) kicks off next week, starting on Monday, June 9. Many on Wall Street will be keeping their eyes and ears open for any new information or updates to the Apple Intelligence platform. Yahoo Finance tech editor Dan Howley comes on Market Domination, outlining the major concerns around its AI business that Apple should address at WWDC. To watch more expert insights and analysis on the latest market action, check out more Market Domination here.",0.00010630941687850282,0.999768078327179,0.00012561802577693015
Apple's Big Developers Event Kicks Off Monday—What You Need To Know,"Apple’s annual Worldwide Developers Conference kicks off Monday, when CEO Tim Cook will get a chance to shift the narrative for the iPhone maker as worries about tariffs and AI feature delays have weighed on the company’s stock this year.",https://finnhub.io/api/news?id=6032eaf8510942299066fa9fcb2ab3c5029e1a62c60b0d109588afef8819a9ee,Yahoo,2025-06-06 18:43:26,finnhub,"Apple's Big Developers Event Kicks Off Monday—What You Need To Know. Apple’s annual Worldwide Developers Conference kicks off Monday, when CEO Tim Cook will get a chance to shift the narrative for the iPhone maker as worries about tariffs and AI feature delays have weighed on the company’s stock this year.",0.005248364061117172,0.9385355114936829,0.056216057389974594
"Apple, Google, Airbnb, and X are reportedly eyeing stablecoin payments","Apple, Google, Airbnb, and X are weighing stablecoin adoption as regulatory sentiment shifts and fintech giants embrace the tech.",https://finnhub.io/api/news?id=c3a3d5a5d44bcda997fc05a66bfbafac248e8df92e5f84f40674f55e0e9fe840,Yahoo,2025-06-06 17:17:41,finnhub,"Apple, Google, Airbnb, and X are reportedly eyeing stablecoin payments. Apple, Google, Airbnb, and X are weighing stablecoin adoption as regulatory sentiment shifts and fintech giants embrace the tech.",0.3010435998439789,0.6958903670310974,0.003066091798245907
S&P Giants And Record Highs,"Within the S&P 500, 32 stocks now have market caps of at least $250 billion. Of those, four have traded at all-time highs today. Click to read.",https://finnhub.io/api/news?id=a3ed0df1981687e6a28d96cfd0833f106f9ca884826a0e9752c28cfa3000f376,SeekingAlpha,2025-06-06 16:09:00,finnhub,"S&P Giants And Record Highs. Within the S&P 500, 32 stocks now have market caps of at least $250 billion. Of those, four have traded at all-time highs today. Click to read.",0.12250249087810516,0.8760074377059937,0.0014901082031428814
"Apple's Outlook Seen Bullish Before Developer Conference on AI Monetization, Wedbush Says","Apple's (AAPL) outlook is bullish before its worldwide developer conference, seen as pivotal to the",https://finnhub.io/api/news?id=9bab0a5dd1ebc95ba1345e970b8eeba08d41a3cd74d46b99cc2df55eb60e8877,Yahoo,2025-06-06 15:34:34,finnhub,"Apple's Outlook Seen Bullish Before Developer Conference on AI Monetization, Wedbush Says. Apple's (AAPL) outlook is bullish before its worldwide developer conference, seen as pivotal to the",1.0,1.5370963168948037e-08,3.879433663200871e-09
The Simple Path To Wealth With 2 Buy And Hold 'Forever' ETFs,Discover the best long-term investment strategy for wealth building. Click as I share two alternative dividend ETFs that could be good picks for income investors.,https://finnhub.io/api/news?id=b3feb63e6f0dbbf8c29296daf00f9474fa458cfa707d636d06e02d3efaef8d94,SeekingAlpha,2025-06-06 15:23:55,finnhub,The Simple Path To Wealth With 2 Buy And Hold 'Forever' ETFs. Discover the best long-term investment strategy for wealth building. Click as I share two alternative dividend ETFs that could be good picks for income investors.,1.0,2.1625119472901133e-08,1.1608433325704937e-08
Fund-management veteran skips emotion in investment strategy,"The chief investment officer of Catalyst Funds is on the hunt for companies that offer what people need, not just want.",https://finnhub.io/api/news?id=6debd5d1312e37b25479cbf4029a26ced50addc5b28f6b26597004078e8bd1e0,Yahoo,2025-06-06 15:22:00,finnhub,"Fund-management veteran skips emotion in investment strategy. The chief investment officer of Catalyst Funds is on the hunt for companies that offer what people need, not just want.",1.6600880599071388e-06,0.9999901056289673,8.22077981865732e-06
