created_at,full_text
Fri May 23 09:50:40 +0000 2025,100 days until we’re back at home 🐊  #GoGators https://t.co/Ceqbvpsoz3
Thu May 22 02:57:22 +0000 2025,The pro-Maduro Biden oil  license in #Venezuela will expire as scheduled next Tuesday May 27th.
Mon May 12 12:25:39 +0000 2025,".@POTUS is fighting to secure the release of every American detained abroad. We won’t stop until this conflict is over and all our hostages are home.   Promises Made, Promised Kept"
Sat May 10 13:06:26 +0000 2025,"Pakistan and India  have agreed to a ceasefire with immediate effect. Pakistan has always strived for peace and security in the region, without compromising on its sovereignty and territorial integrity!"
Sat May 10 13:06:22 +0000 2025,India and Pakistan have today worked out an understanding on stoppage of firing and military action.  India has consistently maintained a firm and uncompromising stance against terrorism in all its forms and manifestations. It will continue to do so.
Sat May 10 12:10:56 +0000 2025,"Over the past 48 hours, @VP Vance and I have engaged with senior Indian and Pakistani officials, including Prime Ministers Narendra Modi and Shehbaz Sharif, External Affairs Minister Subrahmanyam Jaishankar, Chief of Army Staff Asim Munir, and National Security Advisors Ajit…"
Sat May 10 11:57:11 +0000 2025,https://t.co/Uw7yjZs8vs
Sat May 03 23:41:20 +0000 2025,"The Cuban regime continues to provide safe haven for terrorists and criminals, including fugitives from the United States.  We owe the victims and the American people our unwavering commitment to holding the Cuban regime accountable.  https://t.co/UqZ3dgQScq"
Thu May 01 22:13:55 +0000 2025,"A strong America demands peace, not endless war. Met with Foreign Minister @jnbarrot to advance @POTUS’ goal of ending the bloodshed in Ukraine and securing a just and lasting peace. We agreed Europe must invest more in its own defense, and American industry must not be sidelined… https://t.co/ZMGKPZzAQQ"
Wed Apr 30 22:47:24 +0000 2025,".@SecRubio: ""This President inherited 30 years of foreign policy that was built around what was good for the world... Under @POTUS, we're making a foreign policy now that's... good for America."" https://t.co/CVcoD5uUzo"
Tue Apr 29 23:25:54 +0000 2025,"Congratulations to Kamla Persad-Bissessar on her election as the next Prime Minister of Trinidad and Tobago. She is a strong leader, friend, and U.S. ally who shares @POTUS's priorities on security and immigration. We look forward to building a close partnership for the future of…"
Sun Apr 27 14:51:37 +0000 2025,"""We have to make a determination about whether this is an endeavor that we want to continue to be involved in,"" says @SecRubio on negotiations around Ukraine.  ""There are reasons to be optimistic, but there are reasons to be realistic... We're close, but we're not close enough."" https://t.co/BtVrodmRUy"
Sun Apr 27 14:51:01 +0000 2025,"""What we are trying to do is end a war that has cost a lot of money to us, to our allies, cost a lot of lives ... We just want all this to stop,"" says @SecRubio.   ""Instead of rooting against @POTUS, everyone should be hopeful that President Trump can bring this war to an end."" https://t.co/cHAH7cUosk"
Sun Apr 27 14:50:12 +0000 2025,".@SecRubio nukes @kwelkernbc on the latest misleading Fake News hoax: ""Three U.S. citizens ages 4, 7, and 2 were not deported — their mothers, who were illegally in this country, were deported. The children went with their mothers! ... The parents make that choice."" https://t.co/IJt1Lz1xWN"
Sat Apr 26 18:33:23 +0000 2025,Thank you GOD
Sat Apr 26 18:06:54 +0000 2025,The call…@titans 📞 @chimdk11 https://t.co/lGGkf9S9EK
Sat Apr 26 18:06:39 +0000 2025,Congrats Cam! @CamJackson72 moving to the Queen City to join the @Panthers !  #NFLDraft2025 https://t.co/Wp5vAUMJQN
Sat Apr 26 13:05:29 +0000 2025,President Trump sat down to meet privately with Ukrainian President Volodymyr Zelenskyy in St. Peter’s Basilica in Vatican City this morning. https://t.co/QChPiZRKzM
Sat Apr 26 00:01:51 +0000 2025,https://t.co/4rUkEEzcvK
Sat Apr 26 00:01:42 +0000 2025,"The Declaration of Principles that the Foreign Ministers of the Democratic Republic of the Congo and Rwanda signed today in our nation’s capital paves the way for peace, stability, and prosperity in the region. The Declaration will help protect our strategic interest in critical… https://t.co/BwFNc16Sm8"
Fri Apr 25 21:11:58 +0000 2025,https://t.co/M1Nj3VVjiu
Mon Apr 21 11:47:14 +0000 2025,"On Easter Monday, Jeanette and I are saddened to the news of Pope Francis' passing. We unite in prayer with Catholics worldwide for the repose of the pontiff's soul and for this period of transition for the Catholic Church. May He rest in peace."
Sun Apr 20 12:10:21 +0000 2025,This is fake news. The ⁦@nytimes⁩ falls victim to another hoax.  https://t.co/hXSiV1t9HC
Tue Apr 15 23:45:58 +0000 2025,"Under my direction, the @StateDept has canceled another 139 grants worth $214 million.  The American taxpayers should not be funding misguided programs like “Building the Migrant Domestic Worker-Led Movement” in Lebanon or “Get the Trolls Out!” in the United Kingdom.  We are…"
Tue Apr 15 00:42:01 +0000 2025,"""I love the people of El Salvador and they have one hell of a President."" –President Donald J. Trump 🇺🇸🇸🇻 @NayibBukele https://t.co/xlXOy8Yd8h"
Tue Apr 15 00:41:06 +0000 2025,The foreign policy of the United States is conducted by @POTUS — not by a court — and no court in the United States has a right to conduct the foreign policy of the United States.  It's that simple. End of story. https://t.co/POwSlWT7Du
Fri Apr 11 23:10:15 +0000 2025,100%
Fri Apr 11 22:56:00 +0000 2025,https://t.co/HKIzL4LMCo
Fri Apr 11 22:47:07 +0000 2025,"It pains me to admit, but the University of Florida, with 5 national titles in football and men’s basketball since 2000, is the best college athletic program of the 21st century so far. https://t.co/jjShQzQheF"
Wed Apr 09 01:49:06 +0000 2025,El Salvador just got the U.S. State Department’s travel gold star:  Level 1: safest it gets.  🇺🇸🤝🏼🇸🇻 https://t.co/h5wEbxnJmH
