created_at,full_text
Sun Jun 15 12:49:44 +0000 2025,I wrote about one of the biggest trends in the wealth management industry over the last decade.  https://t.co/ynsJzOA9aK
Fri Jun 13 13:11:23 +0000 2025,"The Next Big Short is the Trade War | TCAF 196🎙️  @Downtown and @michaelbatnick are joined by Steve Eisman to discuss: behind-the-scenes on The Big Short, what's going on with the trade war, what looks good in financials, the labor market, what's going on at Apple, and more!… https://t.co/8Wo2mzu4L1"
Wed Jun 11 14:11:20 +0000 2025,"What Every Financial Advisor Needs to Know About https://t.co/fElDco1wED | Talking Wealth Ep 1🎙️  Today at 11am ET on The Unlock channel, @michaelbatnick will be joined by @WeAreWealth co-founders Tim White and Danny Lohrfink!🔥  ⏯️https://t.co/DM7ID3ghtI  Sponsored by: SS&amp;C’s… https://t.co/IRxBSnaBWD"
Mon Jun 09 00:21:20 +0000 2025,"Talk Your Book: The Joneses Aren't That Happy🎙️  On this episode of TYB, @awealthofcs and @michaelbatnick speak with @danielcrosby about his book, The Soul of Wealth!📚🔥  https://t.co/ZkNPZQLqmd https://t.co/NSiaFVwG8e"
Mon Jun 02 20:54:26 +0000 2025,"Interesting charts from @awealthofcs and @michaelbatnick.  Longer you hold, the more likely you are to see gains. Well, the longer you hold, the more likely you are to see a bear market.  ""Corrections, bear markets and crashes are inevitable. No pain, no gain."" https://t.co/3yJ5Si95fO"
Mon Jun 02 00:15:05 +0000 2025,"""The market has seen a bear market over 5-year windows nearly 80% of the time."" 🐻 - @awealthofcs   https://t.co/JcjjxQCTBM"
Fri May 30 23:56:49 +0000 2025,I've seen a lot of charts.  But haven't seen this before.  @michaelbatnick had an idea for a chart that flips the entire narrative around volatility on its head.  Long time horizons don't reduce the risk of downturns. They increase the likelihood of living through one.  👇 https://t.co/J8WIYIcl5K
Fri May 30 13:12:23 +0000 2025,"Why Initial Jobless Claims Could Blow Up the Stock Market | TCAF 194🎙️  @Downtown and @michaelbatnick are joined by @jnordvig, Founder and CEO of @ExanteData to discuss the latest on tariffs, the significance of jobless claims, the dollar's reserve currency status, the collapse… https://t.co/5hYIhT7otC"
Tue May 20 15:37:42 +0000 2025,@michaelbatnick  and I had the pleasure of joining @jasonpereira  on the Fintech Impact podcast.   We talked about Exhibit A and the value we are delivering to the Wealth Management Industry.   Give it a listen!🎧👇   #fintechimpact   https://t.co/Eg4VS6MQNO
Thu May 08 11:21:12 +0000 2025,"The story behind how we opened up our second headquarters in Chicago.   We'll be there next month, and we'd love to see you.  https://t.co/xj7JNbwz9V"
Fri May 02 14:16:34 +0000 2025,"Every Recession Begins With a Slowdown | TCAF 190  @Downtown and @michaelbatnick are joined by Neil Dutta of @RenMacLLC to discuss the risk of recession, what's really behind Trump's tariffs, the Fed's next move, the explosion of AI, and more!🔥  YouTube🎦https://t.co/zLbYyiEc7L… https://t.co/agh2ECI2cl"
Sat Apr 26 13:47:22 +0000 2025,There was a lot to like about the commentary from Q1 earnings season.   I'm afraid we'll hear a different story next time.   https://t.co/t95cL24BUB https://t.co/nIGYpzYd1a
Sat Apr 26 13:43:37 +0000 2025,"Talk Your Book: Derek Thompson Feels Like He's Taking Crazy Pills🎙️  @awealthofcs and @michaelbatnick are joined by @DKThomp to discuss his new book, what it means in the current environment, why the supply chain is so important for consumers and what comes next in the trade… https://t.co/F1TAGk16BZ"
Fri Apr 25 13:15:28 +0000 2025,"The Worst Is Still to Come | TCAF 189  @Downtown and @michaelbatnick are joined by Rebecca Patterson, Senior Fellow at the Council on Foreign Relations and former Chief Investment Strategist at Bridgewater Associates, to discuss: what's next for the stock market, what the trade… https://t.co/dMqBYPWruf"
Wed Apr 23 16:38:31 +0000 2025,Ben Gets His Mojo Back🤣  @awealthofcs @michaelbatnick  ⏯️https://t.co/SWOXR6WG9v https://t.co/fNGQfXSBvU
