created_at,full_text
Thu Jun 12 21:04:09 +0000 2025,Heartbroken for everyone who lost loved ones in today’s plane crash in Ahmedabad and grateful for those who rushed to help ❤️
Mon Jun 09 22:31:04 +0000 2025,"🔥Veo 3 keeps growing like crazy. To keep up, we’re introducing Veo 3 Fast in @GeminiApp and Flow. It’s &gt;2x faster, has the same 720p resolution, and a bunch of serving optimizations. The big headline: we can serve more of it, even for the Yetis!  How to get started:  1) Get a… https://t.co/peEteJqmBz"
Sun Jun 08 01:55:21 +0000 2025,"Veo 3 fast:  - 20 credits rather than 100 - Same resolution - 8s 720p in ~1m20  Seems fantastic after a few runs. I can't wait for the API.  &gt; A woman sits in a busy diner, she says: I was made with Veo 3 Fast, on Google Flow, video with audio but cheaper, same resolution, makes… https://t.co/yAhgSPVmcH"
Thu Jun 05 16:00:42 +0000 2025,"Our latest Gemini 2.5 Pro update is now in preview.  It’s better at coding, reasoning, science + math, shows improved performance across key benchmarks (AIDER Polyglot, GPQA, HLE to name a few), and leads @lmarena_ai with a 24pt Elo score jump since the previous version.  We also… https://t.co/SVjdQ2k1tJ"
Thu Jun 05 15:39:01 +0000 2025,Gemini https://t.co/M0nHdyAeBm
Thu Jun 05 06:07:53 +0000 2025,"Magical scenes? Veo 3 brings them to life  Prompt: A kid draws a door with chalk on a wall, then it opens in real life into a glowing ancient temple, camera follows inside, no music, just deep, echoing ambiance and distant whispers, mystery, nostalgia, and chills https://t.co/fGDwF6JXuh"
Wed Jun 04 18:13:06 +0000 2025,"For @GeminiApp Pro plan members, we've just doubled your 2.5 Pro limit, from 50 to 100 queries per day. Thanks for using the model so much and messaging us wanting more! Enjoy!"
Sat May 31 18:52:08 +0000 2025,"Always a highlight of the sporting calendar for me #uefachampionsleague . Two great teams in PSG and Inter,  youth vs experience, two incredible coaches, hopefully a cracker!! Still haven't recovered from that Inter-Barca semi!"
Sat May 31 01:55:09 +0000 2025,+💯🙏
Fri May 30 21:20:06 +0000 2025,"Excited to continue our investments in communities across the US. This morning, we announced a $7B investment in Iowa in the next two years. We're building a new data center in Cedar Rapids, expanding our site in Council Bluffs, and supporting workforce programs across the…"
Thu May 29 21:38:50 +0000 2025,Marble Run 🟢🔊 Made with Veo 3 in @GeminiApp. https://t.co/Jk9n92D2iU
Wed May 28 18:44:13 +0000 2025,"Happy 10th bday to @GooglePhotos!  It was an early example of AI research becoming reality, using deep neural networks to search in an entirely new way. Now our 1.5B monthly users search their 9T(!) photos + videos 370M times every month - incredible progress! https://t.co/4sCDeIv4D0"
