Datetime,Close,High,Low,Open,Volume,Returns,Log_Returns,SMA_10,SMA_20,SMA_50,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Histogram,RSI,BB_Middle,BB_Upper,BB_Lower,BB_Width,BB_Position,Volatility_10,Volatility_20,Price_Change,Price_Change_Pct,HL_Spread,HL_Spread_Pct,Hour,DayOfWeek,Month,Quarter,Is_Trading_Hours,Is_Market_Open,Is_Premarket,Is_Aftermarket,Is_Extended_Hours
2024-06-20 08:00:00+00:00,185.32,185.79,185.3,185.68,0,,,,,,185.32,185.32,0.0,0.0,0.0,,,,,,,,,-0.36000000000001364,-0.19388194743645715,0.4899999999999807,0.26440751133174006,8,3,6,2,0,0,1,0,1
2024-06-20 09:00:00+00:00,185.58,185.63,184.94,185.34,0,0.001402978631556362,0.001401995376585761,,,,185.46083333333334,185.45499999999998,0.00583333333335645,0.0032407407407535832,0.0025925925926028664,,,,,,,,,0.2400000000000091,0.12949174490126744,0.6899999999999977,0.37180730682185453,9,3,6,2,1,1,0,0,0
2024-06-20 10:00:00+00:00,185.64,185.77,185.27,185.58,0,0.0003233107015840897,0.00032325844794168146,,,,185.53076212471132,185.52146870379497,0.009293420916350215,0.005721347370096464,0.003572073546253751,,,,,,,,,0.05999999999997385,0.03233107015840815,0.5,0.2693385046326223,10,3,6,2,1,1,0,0,0
2024-06-20 11:00:00+00:00,184.81,185.64,184.6,185.62,0,-0.004471019176901403,-0.004481044075310039,,,,185.3032456896552,185.32257314509712,-0.019327455441924712,-0.002764019436143771,-0.016563436005780943,,,,,,,,,-0.8100000000000023,-0.4363753905829125,1.039999999999992,0.5627401114658255,11,3,6,2,1,1,0,0,0
2024-06-20 12:00:00+00:00,184.8707,186.4677,184.398,184.86,0,0.0003284454304419704,0.00032839150404917635,,,,185.1857245716841,185.21778189895363,-0.03205732726954125,-0.011478116245222028,-0.02057921102431922,,,,,,,,,0.010699999999985721,0.005788164016004393,2.0697000000000116,1.1195392239008193,12,3,6,2,1,1,0,0,0
2024-06-20 13:00:00+00:00,182.46319580078125,185.2100067138672,180.72000122070312,184.67999267578125,18894354,-0.013022637980051766,-0.013108175961694769,,,,184.52400684864827,184.6660602732803,-0.14205342463202442,-0.04687128466475169,-0.09518213996727273,,,,,,,,,-2.216796875,-1.200344900864136,4.4900054931640625,2.4607732389310906,13,3,6,2,1,1,0,0,0
2024-06-20 14:00:00+00:00,182.79989624023438,184.1999969482422,182.0,182.44000244140625,8206286,0.001845306051861284,0.0018436055662716256,,,,184.13927759858342,184.334172673941,-0.19489507535757866,-0.08433215717370719,-0.11056291818387147,,,,,,,,,0.359893798828125,0.19726693379304855,2.1999969482421875,1.203500107763172,14,3,6,2,1,1,0,0,0
2024-06-20 15:00:00+00:00,181.72500610351562,183.44000244140625,181.7100067138672,182.77999877929688,4934812,-0.00588014631751288,-0.005897502449043434,,,,183.63545634898554,183.91377128866623,-0.27831493968068344,-0.13094986765716718,-0.14736507202351626,,,,,,,,,-1.05499267578125,-0.5771926265603777,1.7299957275390625,0.9519855107632291,15,3,6,2,1,1,0,0,0
2024-06-20 16:00:00+00:00,180.19000244140625,181.89999389648438,180.08999633789062,181.7104949951172,6283227,-0.008446848868091328,-0.008482725669458537,,,,182.9538229321147,183.36182699783927,-0.40800406572458314,-0.19495076188370453,-0.21305330384087862,,,,,,,,,-1.5204925537109375,-0.836766502535693,1.80999755859375,1.0044938864920214,16,3,6,2,1,0,0,1,1
2024-06-20 17:00:00+00:00,181.14999389648438,181.33470153808594,179.6699981689453,180.1999053955078,5274417,0.005327662145907963,0.00531352036013844,183.4548794482422,,,182.6119980309108,183.05661555693354,-0.4446175260227392,-0.2508906101866167,-0.1937269158361225,,,,,,,,,0.9500885009765625,0.5272413983188734,1.664703369140625,0.9189640768588136,17,3,6,2,0,0,0,1,1
